TeamID,ParticipantID,ParticipantName,Email,Game,SkillLevel,Role,PersonalityScore,PersonalityType
33,P006,Participant_6,user6@university.edu,CS:GO,2,Strategist,57,Thinker
33,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
33,P019,Participant_19,user19@university.edu,FIFA,9,Supporter,95,Leader
33,P020,Participant_20,user20@university.edu,Valorant,3,Coordinator,82,Balanced
33,P037,Participant_37,user37@university.edu,DOTA 2,8,Attacker,100,Leader
33,P039,Participant_39,user39@university.edu,FIFA,5,Supporter,66,Thinker
33,P067,Participant_67,user67@university.edu,Basketball,1,Attacker,92,Leader
33,P085,Participant_85,user85@university.edu,Basketball,10,Coordinator,98,Leader
33,P098,Participant_98,user98@university.edu,CS:GO,5,Defender,83,Balanced
33,P099,Participant_99,user99@university.edu,Valorant,3,Supporter,66,Thinker
34,P005,Participant_5,user5@university.edu,CS:GO,9,Coordinator,82,Balanced
34,P010,Participant_10,user10@university.edu,Valorant,5,Coordinator,96,Leader
34,P014,Participant_14,user14@university.edu,FIFA,3,Supporter,73,Balanced
34,P031,Participant_31,user31@university.edu,Basketball,8,Strategist,97,Leader
34,P043,Participant_43,user43@university.edu,DOTA 2,2,Defender,100,Leader
34,P054,Participant_54,user54@university.edu,Valorant,8,Supporter,69,Thinker
34,P064,Participant_64,user64@university.edu,CS:GO,6,Supporter,92,Leader
34,P071,Participant_71,user71@university.edu,Chess,8,Strategist,70,Balanced
34,P087,Participant_87,user87@university.edu,Basketball,4,Attacker,51,Thinker
34,P090,Participant_90,user90@university.edu,Chess,5,Coordinator,62,Thinker
35,P003,Participant_3,user3@university.edu,FIFA,4,Defender,66,Thinker
35,P007,Participant_7,user7@university.edu,DOTA 2,5,Attacker,93,Leader
35,P008,Participant_8,user8@university.edu,Valorant,10,Defender,81,Balanced
35,P030,Participant_30,user30@university.edu,CS:GO,4,Coordinator,54,Thinker
35,P052,Participant_52,user52@university.edu,FIFA,2,Attacker,99,Leader
35,P061,Participant_61,user61@university.edu,CS:GO,7,Strategist,98,Leader
35,P068,Participant_68,user68@university.edu,Chess,1,Defender,80,Balanced
35,P070,Participant_70,user70@university.edu,Basketball,1,Coordinator,96,Leader
35,P089,Participant_89,user89@university.edu,Chess,6,Supporter,75,Balanced
35,P77281,Dewmi,dewmi@gmail.com,Valorant,8,Coordinator,88,Balanced
36,P009,Participant_9,user9@university.edu,CS:GO,6,Supporter,62,Thinker
36,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
36,P013,Participant_13,user13@university.edu,DOTA 2,4,Defender,97,Leader
36,P035,Participant_35,user35@university.edu,Basketball,8,Coordinator,78,Balanced
36,P044,Participant_44,user44@university.edu,FIFA,6,Supporter,71,Balanced
36,P046,Participant_46,user46@university.edu,CS:GO,5,Strategist,96,Leader
36,P063,Participant_63,user63@university.edu,Chess,8,Defender,60,Thinker
36,P082,Participant_82,user82@university.edu,Valorant,10,Attacker,97,Leader
36,P083,Participant_83,user83@university.edu,DOTA 2,10,Defender,75,Balanced
36,P088,Participant_88,user88@university.edu,FIFA,4,Defender,92,Leader
37,P032,Participant_32,user32@university.edu,DOTA 2,2,Attacker,86,Balanced
37,P038,Participant_38,user38@university.edu,Valorant,1,Defender,78,Balanced
37,P041,Participant_41,user41@university.edu,Basketball,5,Strategist,70,Balanced
37,P049,Participant_49,user49@university.edu,Basketball,3,Supporter,95,Leader
37,P051,Participant_51,user51@university.edu,FIFA,2,Strategist,57,Thinker
37,P057,Participant_57,user57@university.edu,CS:GO,7,Attacker,54,Thinker
37,P058,Participant_58,user58@university.edu,Valorant,3,Defender,95,Leader
37,P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,77,Balanced
37,P091,Participant_91,user91@university.edu,FIFA,10,Strategist,98,Leader
37,P093,Participant_93,user93@university.edu,CS:GO,4,Defender,51,Thinker
38,P017,Participant_17,user17@university.edu,CS:GO,10,Attacker,77,Balanced
38,P024,Participant_24,user24@university.edu,DOTA 2,7,Supporter,63,Thinker
38,P033,Participant_33,user33@university.edu,FIFA,7,Defender,65,Thinker
38,P036,Participant_36,user36@university.edu,Chess,9,Strategist,65,Thinker
38,P048,Participant_48,user48@university.edu,Valorant,6,Defender,65,Thinker
38,P056,Participant_56,user56@university.edu,Basketball,4,Strategist,86,Balanced
38,P060,Participant_60,user60@university.edu,CS:GO,4,Coordinator,57,Thinker
38,P062,Participant_62,user62@university.edu,Basketball,6,Attacker,85,Balanced
38,P072,Participant_72,user72@university.edu,DOTA 2,5,Attacker,61,Thinker
38,P097,Participant_97,user97@university.edu,FIFA,3,Attacker,96,Leader
39,P016,Participant_16,user16@university.edu,CS:GO,6,Strategist,90,Leader
