TeamID,ParticipantID,ParticipantName,Email,Game,SkillLevel,Role,PersonalityScore,PersonalityType
1,P004,Participant_4,user4@university.edu,Basketball,4,Supporter,91,Leader
1,P021,Participant_21,user21@university.edu,FIFA,4,Strategist,64,Thinker
1,P097,Participant_97,user97@university.edu,FIFA,3,Attacker,96,Leader
1,P050,Participant_50,user50@university.edu,Basketball,5,Coordinator,70,Balanced
1,P083,Participant_83,user83@university.edu,DOTA 2,10,Defender,75,Balanced
1,P006,Participant_6,user6@university.edu,CS:GO,2,Strategist,57,Thinker
1,P071,Participant_71,user71@university.edu,Chess,8,Strategist,70,Balanced
1,P012,Participant_12,user12@university.edu,DOTA 2,3,Attacker,63,Thinker
1,P045,Participant_45,user45@university.edu,Chess,2,Coordinator,68,Thinker
2,P019,Participant_19,user19@university.edu,FIFA,9,Supporter,95,Leader
2,P018,Participant_18,user18@university.edu,FIFA,3,Defender,51,Thinker
2,P011,Participant_11,user11@university.edu,Basketball,8,Strategist,84,Balanced
2,P070,Participant_70,user70@university.edu,Basketball,1,Coordinator,96,Leader
2,P037,Participant_37,user37@university.edu,DOTA 2,8,Attacker,100,Leader
2,P096,Participant_96,user96@university.edu,DOTA 2,8,Strategist,56,Thinker
2,P046,Participant_46,user46@university.edu,CS:GO,5,Strategist,96,Leader
2,P055,Participant_55,user55@university.edu,Chess,8,Coordinator,90,Leader
2,P089,Participant_89,user89@university.edu,Chess,6,Supporter,75,Balanced
3,P088,Participant_88,user88@university.edu,FIFA,4,Defender,92,Leader
3,P039,Participant_39,user39@university.edu,FIFA,5,Supporter,66,Thinker
3,P065,Participant_65,user65@university.edu,DOTA 2,7,Coordinator,77,Balanced
3,P092,Participant_92,user92@university.edu,Basketball,7,Attacker,70,Balanced
3,P001,Participant_1,user1@university.edu,Valorant,1,Strategist,20,Thinker
3,P029,Participant_29,user29@university.edu,Basketball,5,Supporter,77,Balanced
3,P015,Participant_15,user15@university.edu,DOTA 2,8,Coordinator,66,Thinker
3,P075,Participant_75,user75@university.edu,Valorant,8,Coordinator,53,Thinker
3,P100,Participant_100,user100@university.edu,CS:GO,7,Coordinator,97,Leader
4,P085,Participant_85,user85@university.edu,Basketball,10,Coordinator,98,Leader
4,P084,Participant_84,user84@university.edu,FIFA,5,Supporter,63,Thinker
4,P051,Participant_51,user51@university.edu,FIFA,2,Strategist,57,Thinker
4,P067,Participant_67,user67@university.edu,Basketball,1,Attacker,92,Leader
4,P043,Participant_43,user43@university.edu,DOTA 2,2,Defender,100,Leader
4,P099,Participant_99,user99@university.edu,Valorant,3,Supporter,66,Thinker
4,P024,Participant_24,user24@university.edu,DOTA 2,7,Supporter,63,Thinker
4,P094,Participant_94,user94@university.edu,CS:GO,2,Supporter,98,Leader
4,P008,Participant_8,user8@university.edu,Valorant,10,Defender,81,Balanced
5,P076,Participant_76,user76@university.edu,FIFA,7,Strategist,91,Leader
5,P060,Participant_60,user60@university.edu,CS:GO,4,Coordinator,57,Thinker
5,P077,Participant_77,user77@university.edu,FIFA,2,Attacker,89,Balanced
5,P058,Participant_58,user58@university.edu,Valorant,3,Defender,95,Leader
5,P054,Participant_54,user54@university.edu,Valorant,8,Supporter,69,Thinker
5,P032,Participant_32,user32@university.edu,DOTA 2,2,Attacker,86,Balanced
5,P057,Participant_57,user57@university.edu,CS:GO,7,Attacker,54,Thinker
5,P022,Participant_22,user22@university.edu,Chess,9,Attacker,97,Leader
5,P056,Participant_56,user56@university.edu,Basketball,4,Strategist,86,Balanced
6,P025,Participant_25,user25@university.edu,FIFA,9,Coordinator,100,Leader
6,P003,Participant_3,user3@university.edu,FIFA,4,Defender,66,Thinker
6,P061,Participant_61,user61@university.edu,CS:GO,7,Strategist,98,Leader
6,P042,Participant_42,user42@university.edu,DOTA 2,7,Attacker,53,Thinker
6,P064,Participant_64,user64@university.edu,CS:GO,6,Supporter,92,Leader
6,P020,Participant_20,user20@university.edu,Valorant,3,Coordinator,82,Balanced
6,P040,Participant_40,user40@university.edu,Chess,9,Coordinator,100,Leader
6,P035,Participant_35,user35@university.edu,Basketball,8,Coordinator,78,Balanced
6,P013,Participant_13,user13@university.edu,DOTA 2,4,Defender,97,Leader
7,P091,Participant_91,user91@university.edu,FIFA,10,Strategist,98,Leader
7,P093,Participant_93,user93@university.edu,CS:GO,4,Defender,51,Thinker
7,P002,Participant_2,user2@university.edu,FIFA,5,Attacker,80,Balanced
7,P005,Participant_5,user5@university.edu,CS:GO,9,Coordinator,82,Balanced
