ID	Name	Email	PreferredGame	SkillLevel	PreferredRole	PersonalityScore	PersonalityType
P001	Participant_1	user1@university.edu	Chess	2	Strategist	95	Leader
P002	Participant_2	user2@university.edu	FIFA	5	Attacker	80	Balanced
P003	Participant_3	user3@university.edu	FIFA	4	Defender	66	Thinker
P004	Participant_4	user4@university.edu	Basketball	4	Supporter	91	Leader
P005	Participant_5	user5@university.edu	CS:GO	9	Coordinator	82	Balanced
P006	Participant_6	user6@university.edu	CS:GO	2	Strategist	57	Thinker
P007	Participant_7	user7@university.edu	DOTA 2	5	Attacker	93	Leader
P008	Participant_8	user8@university.edu	Valorant	10	Defender	81	Balanced
P009	Participant_9	user9@university.edu	CS:GO	6	Supporter	62	Thinker
P010	Participant_10	user10@university.edu	Valorant	5	Coordinator	96	Leader
P011	Participant_11	user11@university.edu	Basketball	8	Strategist	84	Balanced
P012	Participant_12	user12@university.edu	DOTA 2	3	Attacker	63	Thinker
P013	Participant_13	user13@university.edu	DOTA 2	4	Defender	97	Leader
P014	Participant_14	user14@university.edu	FIFA	3	Supporter	73	Balanced
P015	Participant_15	user15@university.edu	DOTA 2	8	Coordinator	66	Thinker
P016	Participant_16	user16@university.edu	CS:GO	6	Strategist	90	Leader
P017	Participant_17	user17@university.edu	CS:GO	10	Attacker	77	Balanced
P018	Participant_18	user18@university.edu	FIFA	3	Defender	51	Thinker
P019	Participant_19	user19@university.edu	FIFA	9	Supporter	95	Leader
P020	Participant_20	user20@university.edu	Valorant	3	Coordinator	82	Balanced
P021	Participant_21	user21@university.edu	FIFA	4	Strategist	64	Thinker
P022	Participant_22	user22@university.edu	Chess	9	Attacker	97	Leader
P023	Participant_23	user23@university.edu	CS:GO	3	Defender	87	Balanced
P024	Participant_24	user24@university.edu	DOTA 2	7	Supporter	63	Thinker
P025	Participant_25	user25@university.edu	FIFA	9	Coordinator	100	Leader
P026	Participant_26	user26@university.edu	Chess	8	Strategist	74	Balanced
P027	Participant_27	user27@university.edu	Chess	6	Attacker	53	Thinker
P028	Participant_28	user28@university.edu	CS:GO	8	Defender	90	Leader
P029	Participant_29	user29@university.edu	Basketball	5	Supporter	77	Balanced
P030	Participant_30	user30@university.edu	CS:GO	4	Coordinator	54	Thinker
P031	Participant_31	user31@university.edu	Basketball	8	Strategist	97	Leader
P032	Participant_32	user32@university.edu	DOTA 2	2	Attacker	86	Balanced
P033	Participant_33	user33@university.edu	FIFA	7	Defender	65	Thinker
P034	Participant_34	user34@university.edu	FIFA	7	Supporter	91	Leader
P035	Participant_35	user35@university.edu	Basketball	8	Coordinator	78	Balanced
P036	Participant_36	user36@university.edu	Chess	9	Strategist	65	Thinker
P037	Participant_37	user37@university.edu	DOTA 2	8	Attacker	100	Leader
P038	Participant_38	user38@university.edu	Valorant	1	Defender	78	Balanced
P039	Participant_39	user39@university.edu	FIFA	5	Supporter	66	Thinker
P040	Participant_40	user40@university.edu	Chess	9	Coordinator	100	Leader
P041	Participant_41	user41@university.edu	Basketball	5	Strategist	70	Balanced
P042	Participant_42	user42@university.edu	DOTA 2	7	Attacker	53	Thinker
P043	Participant_43	user43@university.edu	DOTA 2	2	Defender	100	Leader
P044	Participant_44	user44@university.edu	FIFA	6	Supporter	71	Balanced
P045	Participant_45	user45@university.edu	Chess	2	Coordinator	68	Thinker
P046	Participant_46	user46@university.edu	CS:GO	5	Strategist	96	Leader
P047	Participant_47	user47@university.edu	DOTA 2	10	Attacker	78	Balanced
P048	Participant_48	user48@university.edu	Valorant	6	Defender	65	Thinker
P049	Participant_49	user49@university.edu	Basketball	3	Supporter	95	Leader
P050	Participant_50	user50@university.edu	Basketball	5	Coordinator	70	Balanced
P051	Participant_51	user51@university.edu	FIFA	2	Strategist	57	Thinker
P052	Participant_52	user52@university.edu	FIFA	2	Attacker	99	Leader
P053	Participant_53	user53@university.edu	DOTA 2	7	Defender	71	Balanced
P054	Participant_54	user54@university.edu	Valorant	8	Supporter	69	Thinker
P055	Participant_55	user55@university.edu	Chess	8	Coordinator	90	Leader
P056	Participant_56	user56@university.edu	Basketball	4	Strategist	86	Balanced
P057	Participant_57	user57@university.edu	CS:GO	7	Attacker	54	Thinker
P058	Participant_58	user58@university.edu	Valorant	3	Defender	95	Leader
P059	Participant_59	user59@university.edu	DOTA 2	4	Supporter	79	Balanced
P060	Participant_60	user60@university.edu	CS:GO	4	Coordinator	57	Thinker
P061	Participant_61	user61@university.edu	CS:GO	7	Strategist	98	Leader
P062	Participant_62	user62@university.edu	Basketball	6	Attacker	85	Balanced
P063	Participant_63	user63@university.edu	Chess	8	Defender	60	Thinker
P064	Participant_64	user64@university.edu	CS:GO	6	Supporter	92	Leader
P065	Participant_65	user65@university.edu	DOTA 2	7	Coordinator	77	Balanced
P066	Participant_66	user66@university.edu	Chess	1	Strategist	67	Thinker
P067	Participant_67	user67@university.edu	Basketball	1	Attacker	92	Leader
P068	Participant_68	user68@university.edu	Chess	1	Defender	80	Balanced
P069	Participant_69	user69@university.edu	CS:GO	5	Supporter	68	Thinker
P070	Participant_70	user70@university.edu	Basketball	1	Coordinator	96	Leader
P071	Participant_71	user71@university.edu	Chess	8	Strategist	70	Balanced
P072	Participant_72	user72@university.edu	DOTA 2	5	Attacker	61	Thinker
P073	Participant_73	user73@university.edu	DOTA 2	8	Defender	100	Leader
P074	Participant_74	user74@university.edu	FIFA	3	Supporter	82	Balanced
P075	Participant_75	user75@university.edu	Valorant	8	Coordinator	53	Thinker
P076	Participant_76	user76@university.edu	FIFA	7	Strategist	91	Leader
P077	Participant_77	user77@university.edu	FIFA	2	Attacker	89	Balanced
P078	Participant_78	user78@university.edu	FIFA	6	Defender	51	Thinker
P079	Participant_79	user79@university.edu	Chess	5	Supporter	97	Leader
P080	Participant_80	user80@university.edu	Basketball	1	Coordinator	82	Balanced
P081	Participant_81	user81@university.edu	FIFA	10	Strategist	52	Thinker
P082	Participant_82	user82@university.edu	Valorant	10	Attacker	97	Leader
P083	Participant_83	user83@university.edu	DOTA 2	10	Defender	75	Balanced
P084	Participant_84	user84@university.edu	FIFA	5	Supporter	63	Thinker
P085	Participant_85	user85@university.edu	Basketball	10	Coordinator	98	Leader
